date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,IT,IBUIV121,BUIA,0,0,231.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBULM111,BULCIAGO,0,0,412.92,426.9,-55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBUSVA21,BUSSOL. SS,0,0,236.56,94.8,-52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICAGMA11,CAGNO,0,0,412.01,134.8,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICAIN121,CAIVANO,0,0,229.26,49.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICALF111,CALENZANO,0,0,406.53,296.9,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICALF121,CALENZANO,0,0,234.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICAMV111,CAMIN,0,0,408.21,211.2,-120.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICAMV121,CAMIN,0,0,233.87,96.2,-9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICMOM121,CAMPO MORO,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICMOM12M,CAMPO MORO,0,0,240.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICCHT121,CAMPOCHIES,0,0,235.18,84.5,-8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICMPTA21,CAMPOROSSO,0,0,236.94,58.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
