date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,PT,PV.P.A21,V.P.AGUIAR,0,0,220.0,0.5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PZAMBU21,ZAMBUJAL,0,0,220.6,86.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PLAGOA21,LAGOACA,0,0,220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PTABUA21,TABUA,0,0,218.8,17.7,6.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PVALPA21,VALPACOS,0,0,220.0,24.9,7.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PFUNDA21,FUNDAO,0,0,220.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PF.ALE11,F.ALENTEJO,0,0,400.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PVERMO11,VERMOIM,0,0,390.7,130.1,15.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PA.MIR11,A.MIRA,0,0,400.0,163.5,23.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PBATAL11,BATALHA,0,0,399.1,229.4,86.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PF.FER11,F.FERRO,0,0,401.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PR.MAI11,R.MAIOR,0,0,400.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPALME11,PALMELA,0,0,401.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PSINES11,SINES,0,3,400.0,0.0,0.0,101.2,131.7,400.0,-400.0,100.0,-100.0,,,,,
2007-05-01,PT,PRIBAD11,RIBADAVE,0,0,390.8,179.5,56.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PRIBAD12,RIBADAVE,0,0,390.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PFANHO11,FANHOES,0,0,400.1,100.0,39.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PARMAM11,ARMAMAR,0,0,399.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PV.MIN11,V.MINHO,0,2,397.2,0.0,0.0,0.7,-260.3,620.0,-610.0,185.0,-275.0,,,,,
2007-05-01,PT,PFEIRA11,FEIRA,0,0,393.6,133.3,45.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
