date,country,node1,node2,orderCode,status,ratedVoltNRW,ratedVoltRW,nomPower,restR,reactX,susceptanceB,conductanceG,currentLimA,elementName
2007-05-01,IT,IUSTV111,IUSTV12M,1,0,400.,230.,400.,0.4500,47.280,-0.60000,0.4000,577,USTV_IT38022
2007-05-01,IT,IUSTV111,IUSTV121,2,0,400.,230.,400.,0.4400,46.680,-0.60000,0.4000,577,USTV_IT38022
2007-05-01,IT,IVDLT111,IVDLT121,1,0,400.,230.,400.,0.2500,38.090,-1.40000,0.4000,577,VDLTTIT38022
2007-05-01,IT,IVDLT111,IVDLT121,2,0,400.,230.,400.,0.4700,43.680,-0.60000,0.4000,577,VDLTTIT38022
2007-05-01,IT,IVERMA11,IVERMA21,1,0,400.,230.,400.,0.4400,45.480,-0.80000,0.4000,577,VERMTIT38022
2007-05-01,IT,IVIGTA11,IVIGTA21,1,0,400.,230.,400.,0.5000,46.000,-12.4000,0.6000,577,VIGTTIR38022
2007-05-01,IT,IVLPR111,IVLPR11Z,1,8,400.,400.,1800.,0.1000,7.5600,-8.00000,1.2000,2598,VLPR_IT38038
2007-05-01,IT,IVLPR111,IVLPR11Z,2,8,400.,400.,1800.,0.1000,7.5600,-8.00000,1.2000,2598,VLPR_IT38038
2007-05-01,IT,IVLLRA11,IVLLRA21,1,0,400.,230.,400.,0.5000,36.840,-4.80000,1.0000,577,VLLRTIT38022
2007-05-01,IT,IVLVR111,IVLVR121,1,8,400.,230.,400.,0.4900,44.600,-0.60000,0.6000,577,VLVRTIT38022
