date,country,node1,node2,orderCode,status,ratedVoltNRW,ratedVoltRW,nomPower,restR,reactX,susceptanceB,conductanceG,currentLimA,elementName
2007-05-01,AT,OERNST53,OERNST21,2,0,110.0,220.0,220.0,.10130,8.5070,-48.8000,5.2200,1353,EHRHU2
2007-05-01,AT,OGREUT42,OGREUT21,1,0,132.0,230.0,160.0,.17764,8.7101,-16.2247,3.1565,739,GHPST_L
2007-05-01,AT,OGREUT42,OGREUT41,1,0,132.0,132.0,160.0,.17764,8.7101,-16.2247,3.1565,739,GHPST_Q
2007-05-01,AT,OHAUSR51,OHAUSR21,1,0,110.0,220.0,200.0,.13460,9.7190,-27.2000,5.7600,1050,HRRHU1
2007-05-01,AT,OHAUSR51,OHAUSR21,3,0,110.0,220.0,200.0,.13460,9.7190,-27.2000,5.7600,1050,HRRHU3
2007-05-01,AT,OHAUSR51,OHAUSR22,2,0,110.0,220.0,200.0,.13460,9.7190,-27.2000,5.7600,1050,HRRHU2
2007-05-01,AT,OHAUSR51,OHAUSR59,1,0,110.0,110.0,200.0,.02190,3.6300,-16.5000,1.4460,1050,HRRHU4L
2007-05-01,AT,OHAUSR59,OHAUSR22,4,0,110.0,220.0,200.0,.18000,5.5410,-27.5000,4.1670,1050,HRRHU4Q
2007-05-01,AT,OJOCHE59,OJOCHE21,1,0,110.0,220.0,200.0,.31200,16.562,-.406000,.67100,1088,JSRHU2L
2007-05-01,AT,OJOCHE59,OJOCHE51,1,0,110.0,110.0,200.0,.07800,4.1400,-1.63000,2.6900,1088,JSRHU2Q
2007-05-01,AT,OKENDL51,OKENDL11,1,8,116.0,400.0,300.0,.08700,7.8720,-84.4990,1.4220,1493,KENRHU42
2007-05-01,AT,OKENDL51,OKENDL11,3,0,116.0,400.0,300.0,.08700,7.8960,-100.869,1.4220,1493,KENRHU44
2007-05-01,AT,OKENDL52,OKENDL11,2,0,116.0,400.0,300.0,.08600,7.8910,-109.457,1.4220,1493,KENRHU43
2007-05-01,AT,OLIENN21,OLIENN11,1,0,220.0,380.0,600.0,.21968,15.433,-16.0268,5.7088,1556,LIRHU41
2007-05-01,AT,OLIENN21,OLIENN11,2,0,220.0,380.0,600.0,.21968,15.433,-16.0268,5.7088,1554,LIRHU42
2007-05-01,AT,OLIENN21,OLIENN11,3,0,220.0,380.0,550.0,.18755,15.582,-10.1064,2.4404,1425,LIRHU43
2007-05-01,AT,OLIENN21,OLIENN22,2,0,220.0,220.0,300.0,.29376,23.591,4.393900,1.7895,746,LIPST
2007-05-01,AT,OLIENN51,OLIENN21,1,0,116.0,232.0,220.0,.10133,7.3389,-12.1593,1.5847,1095,LIRHU1
2007-05-01,AT,OLIENN52,OLIENN21,2,0,116.0,232.0,220.0,.10133,7.3389,-12.1593,1.5847,1095,LIRHU2
2007-05-01,AT,OMALTA51,OMALTA21,1,0,110.0,220.0,200.0,.18150,8.4680,-12.2707,1.7623,1031,MARHU1
2007-05-01,AT,OMALTA51,OMALTA22,2,0,110.0,220.0,200.0,.18150,8.4680,-12.2707,1.7623,1031,MARHU2
2007-05-01,AT,ONEUSI51,ONEUSI21,1,0,110.0,220.0,200.0,.11030,8.8320,-49.1000,7.0500,1034,NSRHU1
2007-05-01,AT,ONEUSI51,ONEUSI21,2,0,110.0,220.0,200.0,.11310,8.8227,-23.8000,6.8600,900,NSRHU2
2007-05-01,AT,OOBERS21,OOBERS11,1,0,220.0,380.0,600.0,.21968,15.433,-16.0268,5.7088,1556,OSRHU41
2007-05-01,AT,OOBERS21,OOBERS11,3,0,220.0,380.0,550.0,.17738,15.609,-10.0555,2.6427,1564,OSRHU43
2007-05-01,AT,OOBERS21,OOBERS12,2,0,220.0,380.0,600.0,.21968,15.433,-16.0268,5.7088,1556,OSRHU42
2007-05-01,AT,OOBERS51,OOBERS21,2,0,116.0,232.0,300.0,.06666,6.2791,-15.5304,1.5383,1548,OSRHU2
2007-05-01,AT,OOBERS51,OOBERS21,3,0,116.0,232.0,220.0,.12955,7.7605,-13.4257,1.2986,1205,OSRHU3
2007-05-01,AT,OOBERS52,OOBERS21,1,0,116.0,232.0,300.0,.06666,6.2791,-15.5304,1.5383,1493,OSRHU1
2007-05-01,AT,OPETER21,OPETER11,1,0,220.0,380.0,550.0,.19429,15.099,-6.71943,2.7958,1427,SPRHU41
2007-05-01,AT,OPETER21,OPETER11,2,0,220.0,380.0,550.0,.19429,15.099,-6.71943,2.7958,1427,SPRHU42
2007-05-01,AT,OPETER21,OPETER11,3,0,220.0,380.0,550.0,.19429,15.099,-6.71943,2.7958,1427,SPRHU43
2007-05-01,AT,OPETER51,OPETER21,1,0,110.0,220.0,200.0,.11030,8.2270,-49.1000,7.0500,1032,SPRHU1
2007-05-01,AT,OPETER52,OPETER21,2,0,110.0,220.0,200.0,.11030,8.2270,-49.1000,7.0500,1032,SPRHU2
2007-05-01,AT,OPETER52,OPETER21,3,0,110.0,220.0,220.0,.12870,8.5440,-48.8000,5.0500,1135,SPRHU3
2007-05-01,AT,OPOTTE59,OPOTTE11,1,0,115.0,400.0,300.0,.06997,5.2013,-8.98540,10.223,1506,POTBRHU1L
2007-05-01,AT,OPOTTE59,OPOTTE52,1,0,115.0,115.0,300.0,.03115,1.0928,-5.22270,7.6371,1506,POTBRHU1Q
