date,country,node1,node2,orderCode,phRegulU,phRegulN,phRegulNprime,U,angleRegulU,angleRegulD,angleRegulN,angleRegulNprime,angleRegulP,type
2007-05-01,NL,NHZL381V,NZKLP51,1,,,,,,,,,,
2007-05-01,NL,NMEE381S,NMEE381C,C,1.500,10,3,,,,,,,
2007-05-01,NL,NMEE381S,NMEE222B,C,,,,,,,,,,
2007-05-01,NL,NMEE381S,NMEE-510,C,,,,,,,,,,
2007-05-01,NL,N_DM333,NDIM153F,1,,,,,,,,,,
2007-05-01,NL,NBGM222T,NBGM222B,1,1.500,10,-1,,,,,,,
2007-05-01,NL,NBGM222T,NBGM1150,1,,,,,,,,,,
2007-05-01,NL,NBGM222T,NBERGU2A,1,,,,,,,,,,
2007-05-01,NL,NHSW222S,NHSW222B,1,1.500,10,6,,,,,,,
2007-05-01,NL,NHSW222S,NZLH115A,1,,,,,,,,,,
2007-05-01,NL,NHSW222S,NHESSE21,1,,,,,,,,,,
2007-05-01,NL,NHSW222U,NHSW222B,1,1.500,10,6,,,,,,,
2007-05-01,NL,NHSW222U,NZLH115B,1,,,,,,,,,,
2007-05-01,NL,NHSW222U,NHESSE23,1,,,,,,,,,,
2007-05-01,NL,NLSM222T,NLSM222B,1,1.500,10,1,,,,,,,
2007-05-01,NL,NLSM222T,NLSM1151,1,,,,,,,,,,
2007-05-01,NL,NLSM222T,NLOUWS2A,1,,,,,,,,,,
2007-05-01,NL,NMEE222T,NMEE222B,1,1.500,10,4,,,,,,,
2007-05-01,NL,NMEE222T,NMEE115B,1,,,,,,,,,,
2007-05-01,NL,NMEE222T,NMEEDE23,1,,,,,,,,,,
2007-05-01,NL,NOHK222U,NOHK222B,1,1.500,10,-1,,,,,,,
2007-05-01,NL,NOHK222U,NOHK1150,1,,,,,,,,,,
2007-05-01,NL,NOHK222U,NOUDEH2A,1,,,,,,,,,,
2007-05-01,NL,NRBB222T,NRBB222B,1,1.500,10,2,,,,,,,
2007-05-01,NL,NRBB222T,NEHM1153,1,,,,,,,,,,
2007-05-01,NL,NRBB222T,NEEMSH22,1,,,,,,,,,,
2007-05-01,NL,NVVL222T,NVVL222B,1,1.500,10,4,,,,,,,
2007-05-01,NL,NVVL222T,NVVL115B,1,,,,,,,,,,
2007-05-01,NL,NVVL222T,NVIERV2A,1,,,,,,,,,,
2007-05-01,NL,NZYV222T,NZYV222B,1,1.500,10,2,,,,,,,
2007-05-01,NL,NZYV222T,NZYV115B,1,,,,,,,,,,
2007-05-01,NL,NZYV222T,NZEYER22,1,,,,,,,,,,
2007-05-01,NL,NBWK381U,NBWK381B,1,1.500,10,3,,,,,,,
2007-05-01,NL,NBWK381U,NZT1503B,1,,,,,,,,,,
2007-05-01,NL,NBWK381U,NBWK-512,1,,,,,,,,,,
2007-05-01,NL,NCST381S,NCST381B,1,1.500,10,2,,,,,,,
2007-05-01,NL,NCST381S,NCRAYE31,1,,,,,,,,,,
2007-05-01,NL,NCST381S,NCST-510,1,,,,,,,,,,
