date,country,node1,node2,orderCode,status,resistR,reactX,susceptanceB,currentLimA,elementName
2007-05-01,PT,PVERMO21,PRR-VM21,2,0,0.2468,2.6136,32.74793,2000,
2007-05-01,PT,PVERMO21,PVG-VM21,4,0,0.2517,2.6378,32.66528,2000,
2007-05-01,PT,PV.CHA21,PTABUA21,1,0,2.1683,12.066,74.73140,1050,
2007-05-01,PT,PV.CHA21,PTABUA21,2,0,2.1683,12.071,74.77272,1050,
2007-05-01,PT,PV.CHA21,PGOUVE21,1,0,0.9148,5.1062,31.50826,1000,
2007-05-01,PT,PV.CHA21,PGOUVE22,2,0,0.9051,5.0288,31.50826,1000,
2007-05-01,PT,PA.MIR21,PS.RIO21,1,0,0.5856,2.8266,375.0826,1294,
2007-05-01,PT,PA.MIR21,PS.RIO21,2,0,1.0164,2.3038,922.1694,1294,
2007-05-01,PT,PA.MIR21,PZAMBU21,1,0,0.5469,1.5536,715.9504,1170,
2007-05-01,PT,PA.MIR21,PZAMBU21,2,0,0.5469,1.5488,713.0371,1170,
2007-05-01,PT,PA.MIR21,PFN-AM21,3,0,0.5421,2.8798,19.21487,1000,
2007-05-01,PT,PA.MIR21,PAM-CH21,1,0,0.0290,0.1404,0.909091,1236,
2007-05-01,PT,PESTAR21,PMOURI21,1,0,1.9166,10.352,68.40909,955,
2007-05-01,PT,PESTAR21,PCARRA21,2,0,3.8914,20.066,145.4132,1000,
2007-05-01,PT,PESTAR21,PCARRA21,3,0,1.5052,14.907,195.4752,2354,
2007-05-01,PT,PESTAR21,PTG-CN21,1,0,2.4394,13.000,87.47933,1000,
2007-05-01,PT,PR.MAI21,PCARRE21,1,0,3.1460,16.988,108.8842,1000,
2007-05-01,PT,PR.MAI21,PCARRE21,3,0,2.9718,15.270,111.9214,1000,
2007-05-01,PT,PR.MAI21,PCARRE22,2,0,2.9427,15.192,111.9834,1000,
2007-05-01,PT,PR.MAI21,PCARVO21,1,0,2.8362,15.792,98.65702,1050,
2007-05-01,PT,PR.MAI21,PPR-RM21,2,0,5.7257,31.866,197.9545,1000,
2007-05-01,PT,PCARRE21,PCARRE22,1,0,0.000,0.0678,0.00000,5999,
2007-05-01,PT,PCARRE21,PSANTA21,1,0,2.6620,14.616,93.65702,955,
2007-05-01,PT,PCARRE21,PSANTA21,2,0,2.6620,14.616,93.65702,955,
2007-05-01,PT,PCARRE21,PSEIXA21,1,8,4.4189,23.657,155.5991,955,
2007-05-01,PT,PVALDI21,PRECAR21,1,0,4.9755,26.077,185.0000,1050,
2007-05-01,PT,PVALDI21,PREGUA21,1,0,0.1646,0.8809,5.888430,622,
2007-05-01,PT,PVALDI21,PCARRA21,1,0,2.5410,13.968,91.52892,622,
2007-05-01,PT,PVALDI21,PURRO_21,1,0,3.8188,20.100,141.6528,1050,
2007-05-01,PT,PVALDI21,PV.P.A21,1,0,3.4848,19.021,123.1404,1050,
2007-05-01,PT,PVALDI21,PV.P.A21,2,0,3.4848,19.021,123.1404,1050,
2007-05-01,PT,PVALDI21,PPI-VG21,1,0,0.2420,2.1296,25.95041,2000,
2007-05-01,PT,PVALDI21,PVG-VM21,4,0,1.8876,19.747,244.2768,2000,
2007-05-01,PT,PVALDI21,PVG-AM21,1,0,0.3630,4.0172,43.07851,1968,
2007-05-01,PT,PCARRE22,PFANHO21,2,0,1.9796,10.749,68.76033,1050,
2007-05-01,PT,PMOURI21,PCARRA21,1,0,5.3288,27.776,197.0041,1000,
2007-05-01,PT,PMOURI21,PPARAI21,1,0,1.7037,9.1331,61.38429,955,
2007-05-01,PT,PMOURI21,PPARAI21,2,0,1.6940,9.1428,59.91735,1000,
2007-05-01,PT,PCANEL21,PRECAR21,1,0,0.8180,4.2205,123.1404,2000,
2007-05-01,PT,PCANEL21,PTG-CN21,1,0,0.1791,2.3910,40.33057,3149,
2007-05-01,PT,PCANEL21,PRR-CN21,3,0,0.3388,4.5254,76.32231,2000,
2007-05-01,PT,PFANHO21,PCARRI21,1,0,1.5052,8.0489,54.02892,1000,
2007-05-01,PT,PFANHO21,PCARRI21,2,0,1.2197,6.6647,42.60330,1000,
2007-05-01,PT,PFANHO21,PTRAJO21,1,0,0.7841,6.8680,125.8264,2000,
2007-05-01,PT,PFANHO21,PA.S.J21,1,0,1.8682,6.8438,925.4752,1294,
2007-05-01,PT,PFANHO21,PFN-AM21,3,0,0.8664,4.5738,31.79752,1000,
2007-05-01,PT,PARMAM21,PARMAM22,1,8,0.000,0.0678,0.00000,5999,
2007-05-01,PT,PARMAM21,PCARRA21,2,0,3.4461,18.193,132.3966,1050,
2007-05-01,PT,PARMAM21,PVALEI21,1,0,2.3474,12.332,86.26033,1000,
2007-05-01,PT,PARMAM21,PVALEI21,2,0,2.3474,12.327,86.32231,1000,
2007-05-01,PT,PARMAM21,PPI-VG21,1,0,0.0774,0.6873,8.347107,2165,
2007-05-01,PT,PARMAM21,PVG-AM21,1,0,0.0097,0.1113,1.136364,1968,
2007-05-01,PT,PARMAM22,PCARRA21,1,0,3.4412,18.164,132.2107,1050,
2007-05-01,PT,PPOMBA21,PPR-RM21,1,0,0.2759,1.5052,9.690083,501,
2007-05-01,PT,PCUSTO21,PPRELA21,1,0,0.3775,2.6378,18.59504,1118,
2007-05-01,PT,PCUSTO21,PMAIA_21,1,0,0.9293,5.2562,38.49173,1000,
2007-05-01,PT,PPICOT21,PMOGAD21,1,0,1.9941,10.444,72.72727,1000,
2007-05-01,PT,PPICOT21,PLAGOA21,1,0,3.0540,17.007,107.0661,1050,
2007-05-01,PT,PPICOT21,PLAGOA21,2,0,3.0782,18.866,129.1115,1050,
