date,country,node1,node2,orderCode,status,resistR,reactX,susceptanceB,currentLimA,elementName
2007-05-01,IT,IST3VA21,IST4V121,1,0,0.0600,0.3000,167.9200,800,ST3V_IST4V_I
2007-05-01,IT,IST4V121,IS5AV121,1,0,0.0250,0.4390,168.1200,1250,ST4V_IS5AVZI
2007-05-01,IT,IST4V121,IST4VA21,5,0,0.0010,0.3000,0.000000,9999,ST4V_IST4V_I
2007-05-01,IT,IST4V121,IST4VA22,6,0,0.0010,0.3000,0.000000,9999,ST4V_IST4V_I
2007-05-01,IT,IST4V121,IST4V321,A,0,0.0010,0.3000,0.000000,1250,ST4V_IST4V_I
2007-05-01,IT,IST4V121,IST4V421,B,8,0.0010,0.3000,0.000000,800,ST4V_IST4V_I
2007-05-01,IT,IST4V321,IST1VA21,1,0,0.0810,0.4400,173.8800,960,ST4V_IST1V_I
2007-05-01,IT,IST4V421,IST4VD21,8,0,0.0010,0.3000,0.000000,9999,ST4V_IST4V_I
2007-05-01,IT,IST4V62Z,IST4V121,4,8,0.0010,0.3000,0.000000,480,ST4V_IST4V_I
2007-05-01,IT,IST4V72Z,IST4V121,3,8,0.0010,0.3000,0.000000,480,ST4V_IST4V_I
2007-05-01,IT,IST4VA22,IST4VD21,2,0,0.0010,0.3000,0.000000,800,ST4V_IST4V_I
2007-05-01,IT,IST4VD21,IS52V121,1,0,0.0250,0.3000,162.4200,960,ST4V_IS52VZI
2007-05-01,IT,IST5V12M,IS52V121,1,0,0.0100,0.3000,73.02000,800,ST5VTIS52VZI
2007-05-01,IT,IST5V12N,IS5AV121,1,0,0.0000,0.3000,0.020000,800,ST5VTIS5AVZI
2007-05-01,IT,ISTUT121,IARBT121,1,0,0.1490,1.0170,527.0400,1058,STUTTIARBT_I
2007-05-01,IT,ISUVFA11,IMOSR111,1,0,2.2830,34.425,504.5400,2760,SUVFTIMOSRTI
2007-05-01,IT,ISUVFA11,IMOSR111,2,0,2.2490,33.760,496.3400,2760,SUVFTIMOSRTI
2007-05-01,IT,ISUVFA11,ISUVFB11,1,0,0.0100,0.3000,0.020000,440,SUVFTISUVFTI
2007-05-01,IT,ISUVFA11,ISUVF21Z,2,8,0.0100,0.3000,0.020000,2000,SUVFTISUVFTI
2007-05-01,IT,ITAIVA21,ISAEVA21,1,0,8.5420,42.925,294.2600,640,TAIV_ISAEVZI
2007-05-01,IT,ITAIVA21,ITCEV122,1,0,0.0030,0.3000,7.520000,960,TAIV_ITCEV_I
2007-05-01,IT,ITAIVA21,ITCEV121,2,0,0.0030,0.3000,6.040000,960,TAIV_ITCEV_I
2007-05-01,IT,ITN2N121,ITSMN321,V,0,0.6740,5.0520,201.6200,790,TN2NTITSMNTI
2007-05-01,IT,ITN2N221,ITSMN12M,R,0,0.4270,2.2960,55.88000,1105,TN2NTITSMNTI
2007-05-01,IT,ITN2N321,ITSMN221,B,0,0.5630,4.1370,29.08000,920,TN2NTITSMNTI
2007-05-01,IT,ITSMN121,ISSRN121,R,0,0.0010,0.3000,6.980000,1050,TSMNTISSRN_I
2007-05-01,IT,ITSMN221,ISSRN121,B,0,0.0010,0.3000,5.980000,1050,TSMNTISSRN_I
2007-05-01,IT,ITSMN321,IRIVN122,V,0,0.0120,0.3000,64.24000,787,TSMNTIRIVN_I
2007-05-01,IT,ITVZF111,ISFLF111,1,0,0.0280,0.3120,128.1200,2000,TVZFTISFLF_I
2007-05-01,IT,ITVZF111,ISFLF111,2,0,0.0280,0.3230,128.1200,2000,TVZFTISFLF_I
2007-05-01,IT,ITVZF111,ISLRF111,1,0,0.0190,0.3000,94.18001,2000,TVZFTISLRF_I
2007-05-01,IT,ITVZF111,ISLRF111,2,0,0.0170,0.3000,88.78001,2000,TVZFTISLRF_I
2007-05-01,IT,ITZNM111,ITZCM111,1,0,0.0010,0.3000,3.600000,2270,TZNMTITZCM_I
2007-05-01,IT,ITZNM111,ITZCM211,2,0,0.0010,0.3000,3.600000,2270,TZNMTITZCM_I
2007-05-01,IT,ITZNM111,ITZCM31Z,3,8,0.0010,0.3000,3.600000,2270,TZNMTITZCM_I
2007-05-01,IT,ITZNM111,ITZCM41Z,4,8,0.0010,0.3000,3.600000,2270,TZNMTITZCM_I
2007-05-01,IT,ITZ2M121,ICLAVA21,1,0,11.933,46.111,305.8800,600,TZ2MTICLAV_I
2007-05-01,IT,ITZ2M121,ITZNM121,1,0,0.0650,0.4190,2.940000,1750,TZ2MTITZNMTI
2007-05-01,IT,ITZ2MA21,ITZ2M121,1,0,0.1000,0.3000,0.100000,4000,TZ2MTITZ2MTI
2007-05-01,IT,ITZ2MA22,ITZ2M121,2,0,0.1000,0.3000,0.100000,4000,TZ2MTITZ2MTI
2007-05-01,IT,ITEAN121,IPREN121,1,0,0.9310,6.9290,47.56000,960,TEAN_IPRENTI
2007-05-01,IT,ITEAN121,ISMRN121,1,0,1.7010,12.496,88.18001,960,TEAN_ISMRNTI
2007-05-01,IT,ITCPN121,ITCPN22Z,1,8,0.0420,0.3000,37.02000,480,TCPN_ITCPN_I
2007-05-01,IT,ITCATA21,ICSNT121,1,0,0.2380,1.6120,13.64000,960,TCATTICSNTTI
2007-05-01,IT,ITCATA21,ISANT122,1,0,1.8710,11.057,83.18001,1010,TCATTISANTTI
2007-05-01,IT,ITERR111,IVLLRA11,1,0,0.7860,11.610,178.3800,2880,TERRTIVLLRTI
2007-05-01,IT,ITENR11Z,ILARR111,1,8,0.2730,3.9490,61.74000,2880,TENR_ILARRTI
2007-05-01,IT,IVTIM121,ICESMA21,1,0,10.039,52.868,327.9400,850,VTIM_ICESMZI
2007-05-01,IT,ITOCT121,IARBT121,1,0,0.0090,0.3000,26.20000,960,TOCTDIARBT_I
2007-05-01,IT,ITOCT121,IPLTT121,1,0,0.0580,0.5250,242.7400,940,TOCTDIPLTT_I
2007-05-01,IT,ITNCT121,ITONT121,1,0,0.1000,0.3000,2.000000,120,TNCT_ITONT_I
2007-05-01,IT,ITNCT221,ITONT121,2,0,0.1000,0.3000,2.000000,120,TNCT_ITONT_I
2007-05-01,IT,ITNCT321,ITONT121,3,0,0.1000,0.3000,2.000000,1000,TNCT_ITONT_I
2007-05-01,IT,ITNCT421,ITONT121,4,0,0.1000,0.3000,2.000000,720,TNCT_ITONT_I
2007-05-01,IT,ITRBV121,ISMSV121,1,0,1.9230,9.6590,66.34000,700,TRBVPISMSVTI
2007-05-01,IT,ITNSF121,ISCOT121,1,0,2.6430,12.597,80.66001,900,TNSF_ISCOTTI
2007-05-01,IT,ITNSF121,ISPET221,1,0,3.5850,21.649,221.0800,900,TNSF_ISPETTI
2007-05-01,IT,ITNSF121,ITROF121,1,0,0.0090,0.3000,0.440000,180,TNSF_ITROF_I
2007-05-01,IT,ITVSV121,ITVSVA2Z,3,8,0.0100,0.3000,0.020000,9999,TVSVTITVSVTI
2007-05-01,IT,ITVSV121,ITVSVA2Z,4,8,0.0100,0.3000,0.020000,9999,TVSVTITVSVTI
2007-05-01,IT,ITVSV121,ITVSVA2Z,5,8,0.0100,0.3000,0.020000,9999,TVSVTITVSVTI
